Entity,Code,Year,Average per capita supply of pulses/kg,Daily caloric supply (kcal/person/day),Fat supply quantity (g/capita/day) ,Protein supply quantity (g/capita/day),Meat food supply quantity (kg/capita/yr),Total population,GDP,Caloric Coefficient Variation (CV) 
Afghanistan,AFG,2013,2.44,2090,33.52,58.25,12.33,32270000,20170,0.25
Africa,,2013,11.79,2624,54.46,69.1,19.01,1123044992,,
Albania,ALB,2013,5.39,3193,106.53,111.42,61.96,2904000,12784,
Algeria,DZA,2013,8.33,3296,76.55,91.96,21.07,38140000,209755,0.28
Americas,,2013,9.15,,119.14,93.25,86.94,56000,,
Angola,AGO,2013,8.96,2473,53.54,57.26,36.13,26016000,136710,0.3
Antigua and Barbuda,ATG,2013,2.96,2417,90.03,83.71,85.07,92000,1181,
Argentina,ARG,2013,0.85,3229,116.46,102.64,107.24,42196000,611471,0.21
Armenia,ARM,2013,,2928,96.64,90.04,45.71,2898000,11121,0.24
Asia,,2013,6.55,2779,72.66,77.57,32.55,,,
Australia,AUS,2013,1.29,3276,87.67,84.91,45.17,23255000,1518345,
Australia & New Zealand,,2013,1.68,,150.85,106.28,116.23,,,
Austria,AUT,2013,0.81,3768,145.22,104.06,113.83,8556000,430197,
Azerbaijan,AZE,2013,0.95,3118,170.44,106.21,90.87,9385000,74160,0.21
Bahamas,BHS,2013,1.2,2670,59.27,93.15,31.1,367000,10563,
Bangladesh,BGD,2013,6.57,2450,100.93,86.62,104.2,152760992,161297,0.26
Barbados,BRB,2013,6.49,2937,29.93,55.84,4.11,284000,4677,0.22
Belarus,BLR,2013,0.03,3250,88.55,88.24,68.13,9424000,75496,
Belgium,BEL,2013,2.48,3733,129.84,93.82,89.08,11154000,521083,
Belize,BLZ,2013,15.38,2751,162.32,99.59,69.93,346000,1608,0.25
Benin,BEN,2013,9.59,2619,75.68,73.27,50.48,10005000,12518,0.28
Bermuda,BMU,2013,2.11,2671,49.8,64.43,25.19,64000,,
Bolivia,BOL,2013,4.62,2256,109.6,90.79,96.97,10542000,30883,0.23
Bosnia and Herzegovina,BIH,2013,7.21,3154,53.14,66.01,66.38,3543000,18155,
Botswana,BWA,2013,5.64,2326,71.72,91.64,32.21,2063000,14915,0.25
Brazil,BRA,2013,16.45,3263,66.04,64.86,28.94,201036000,2471529,0.23
Brunei,BRN,2013,1.33,2985,117.75,94.99,97.58,404000,18092,0.21
Bulgaria,BGR,2013,2.35,2829,82.6,93.41,85.99,7290000,55557,
Burkina Faso,BFA,2013,14.96,2720,94.15,83.53,53.72,17073000,11955,0.41
Cabo Verde,,2013,13.77,2609,61.6,79.38,11.72,,,0.25
Cambodia,KHM,2013,4.92,2477,35.96,65.66,13.21,15026000,15228,0.27
Cameroon,CMR,2013,21.48,2671,57.08,69.96,13.35,22077000,32358,0.25
Canada,CAN,2013,12.1,3494,147.05,104.95,90.75,35297000,1846595,
Caribbean,,2013,15.95,,71.18,73.65,35.12,,,
Central African Republic,CAF,2013,8.35,1879,71.29,68.33,44.61,4448000,,0.3
Central America,,2013,12.93,,59.54,46.06,29.45,,,
Central Asia,,2013,0.89,,86.28,82.49,54.93,,,
Chad,TCD,2013,8.76,2110,47.09,62.72,12.01,13220000,12994,0.36
Chile,CHL,2013,4.19,2979,89.36,87.36,85.69,17572000,278345,0.22
China,CHN,2013,1.35,3108,95.12,98.02,61.05,1391883008,9635025,0.32
"China, Hong Kong SAR",,2013,1.33,,82.15,64.38,50.79,,,
"China, Macao SAR",,2013,3.61,,46.97,51.66,29.38,,,
"China, Taiwan Province of",,2013,2.73,,90.46,75.07,49.99,,,
"China, mainland",,2013,1.33,,59.33,58.51,15.01,,,
Colombia,COL,2013,6.4,2804,118.45,84.35,66.3,46495000,381844,0.26
Congo,COG,2013,3.27,2208,68.8,90.86,53.94,4623000,,0.28
Costa Rica,CRI,2013,10.58,2848,114.73,77.61,75.58,4742000,50326,0.22
Cote d'Ivoire,CIV,2013,2.42,2799,137.05,87.47,72.83,22088000,,0.38
Croatia,HRV,2013,0.73,3059,134.54,108.88,81.87,4277000,58158,
Cuba,CUB,2013,21.21,3409,60.13,65.86,18.35,11283000,77148,0.23
Cyprus,CYP,2013,3.11,2649,75.48,76.25,51.94,1144000,24093,
Czech Republic,CZE,2013,1.92,3256,89.26,58.2,47.2,10587000,209402,
Denmark,DNK,2013,1.05,3367,38.37,56.71,10.81,5638000,343584,
Djibouti,DJI,2013,12.78,2607,94.42,96.48,60.2,883000,2043,0.3
Dominica,DMA,2013,5.19,2931,107.86,97.42,68.75,71000,502,0.24
Dominican Republic,DOM,2013,11.59,2614,94.72,61.36,53.98,10048000,62758,
Eastern Africa,,2013,15.96,,63.13,103.24,30.47,,,
Eastern Asia,,2013,1.51,,62.26,71.9,29.04,,,
Eastern Europe,,2013,1.78,,90.71,103.9,58.54,,,
Ecuador,ECU,2013,2.05,2344,25.93,60.4,7.06,15707000,95130,0.23
Egypt,EGY,2013,5.65,3522,128.96,102.06,77.34,88405000,288007,0.29
El Salvador,SLV,2013,17.39,2577,149.19,105.23,85.28,6266000,21991,0.26
Estonia,EST,2013,8.66,3253,139.97,103.85,81.26,1319000,,0.31
Ethiopia,ETH,2013,15.82,2131,94.57,73.6,39.59,95386000,,
Europe,,2013,2.56,2419,140.26,117.72,77.53,,,
European Union,,2013,2.77,2566,159.2,110.52,86.76,,,
Fiji,FJI,2013,10.9,2943,125.9,96.85,101.1,866000,4539,0.24
Finland,FIN,2013,1.17,3368,59.57,86.63,70.81,5439000,270061,
France,FRA,2013,1.86,3482,71.32,61.55,6.41,63894000,2811918,
French Polynesia,PYF,2013,2.87,2927,64.59,80.53,27.98,270000,,
Gabon,GAB,2013,0.26,2830,141.87,101.59,85.94,1817000,17596,0.2
Gambia,GMB,2013,1.23,2628,45.96,64.57,17.44,1964000,,0.27
Georgia,GEO,2013,0.04,2905,146.66,108.8,76.6,4049000,16140,0.25
Germany,DEU,2013,0.73,3499,86.74,69.19,60.91,81174000,3733859,
Ghana,GHA,2013,8.85,3016,55.73,63.73,27.39,26608000,63279,0.27
Greece,GRC,2013,4.79,3400,61.99,55.93,10.39,10741000,239937,
Grenada,GRD,2013,7.23,2447,63.5,44.04,16.33,108000,843,
Guatemala,GTM,2013,15.08,2419,59.65,79.51,43.79,15596000,53851,0.3
Guinea,GIN,2013,4.19,2566,48.95,47.72,17.99,10893000,8374,0.32
Guinea-Bissau,GNB,2013,3.39,2292,72.95,64.88,34,1648000,1046,0.28
Guyana,GUY,2013,5.84,2764,139.92,129.18,153.12,759000,2988,0.25
Haiti,HTI,2013,20.15,2091,137.65,78.85,65.04,10401000,8453,0.49
Honduras,HND,2013,12.06,2641,151,133.54,93.33,8799000,18499,0.31
Hungary,HUN,2013,3.14,3037,52.25,60.25,3.69,9834000,0,
Iceland,ISL,2013,0.77,3380,57.7,62.18,13.55,327000,16034,
India,IND,2013,14.4,2459,75.29,87.28,32.88,1280841984,1856721,0.25
Indonesia,IDN,2013,1.11,2777,64.18,63.63,19.67,251804992,916646,0.28
Iran,IRN,2013,10.17,3094,125.84,110.02,86.69,76482000,396408,0.27
Iraq,IRQ,2013,2.88,2545,151.58,128.14,95.15,33157000,234638,0.38
Ireland,IRL,2013,3.29,3600,154.74,108.51,84.04,4615000,238296,
Israel,ISR,2013,10.13,3610,78.42,76.97,61.76,7735000,292636,
Italy,ITA,2013,5.6,3579,86.6,87.73,49.45,60167000,2131129,
Jamaica,JAM,2013,3.28,2746,100.09,79.59,44.79,2859000,14211,0.24
Japan,JPN,2013,1.55,2726,134.52,96.41,67.84,128314000,5155716,
Jordan,JOR,2013,8.01,3100,47.98,61.84,14.32,8519000,34115,0.24
Kazakhstan,KAZ,2013,0.49,3264,103.41,73.33,32.17,17026000,236635,0.26
Kenya,KEN,2013,15.3,2206,116.98,108.24,82.88,45520000,55125,0.23
Kiribati,KIR,2013,0.08,3040,67.83,85.16,32.07,108000,186,0.27
Kuwait,KWT,2013,8.33,3501,51.05,67.46,20.69,3526000,174179,0.26
Kyrgyzstan,KGZ,2013,5.38,2817,38.83,68.9,21.07,5731000,7335,0.25
Land Locked Developing Countries,,2013,11.97,,119.47,91.39,61.1,,,
Laos,LAO,2013,2.98,2451,43.86,61.34,14.15,6541000,11974,0.25
Latvia,LVA,2013,0.04,3174,102.31,79.71,39.63,2045000,30260,
Least developed countries,,2013,12.22,,32.29,73.52,24.6,,,
Lebanon,LBN,2013,9.48,3066,59.86,37.66,16.3,5913000,46867,0.26
Lesotho,LSO,2013,7.48,2529,94.58,124.49,77.65,2029000,2506,0.27
Liberia,LBR,2013,1.36,2204,51.5,61.13,8.41,4248000,3065,0.35
Lithuania,LTU,2013,3.59,3417,141.83,113.88,98.53,3009000,46431,
Low Income Food Deficit Countries,,2013,13.24,,126.28,94.84,119.45,,,
Luxembourg,LUX,2013,1.17,3539,102.63,78.51,38.16,543000,61758,
Macedonia,MKD,2013,4.78,2949,24.49,46.67,14.12,2076000,10602,
Madagascar,MDG,2013,4.1,2052,41.2,64.55,11.25,22961000,,0.28
Malawi,MWI,2013,15,2367,89.74,81.58,56.25,15839000,5432,0.32
Malaysia,MYS,2013,3.07,2916,63.12,122.43,32.41,29469000,327869,0.22
Maldives,MDV,2013,3.53,2732,64.19,85.2,24.75,416000,3286,0.25
Mali,MLI,2013,18.77,2890,116.15,110.36,86.62,16450000,13243,0.27
Malta,MLT,2013,3.93,3378,73.66,84.96,30.36,426000,10154,
Mauritania,MRT,2013,13.8,2876,92.29,88.36,53.47,3817000,5724,0.28
Mauritius,MUS,2013,10.16,3065,85.79,69.9,37.94,1255000,12130,0.27
Melanesia,OWID_MNS,2013,8.23,,93.55,87.63,62.23,,,
Mexico,MEX,2013,12.39,3072,103.41,73.33,32.17,118827000,1274444,0.26
Micronesia (region),,2013,0.08,,53.68,62.07,23.93,,,
Middle Africa,,2013,12.41,,85.63,71.41,39.86,,,
Moldova,MDA,2013,0.86,2714,90.44,80.79,81.1,4075000,9496,
Mongolia,MNG,2013,0.51,2510,131.86,112.07,84.51,2882000,12582,0.29
Montenegro,MNE,2013,6.87,3491,69.37,97.93,35.02,626000,4466,
Morocco,MAR,2013,6.15,3403,41.92,45.7,8.5,33716000,106826,0.31
Mozambique,MOZ,2013,14.01,2283,69.42,82.61,39.03,25561000,16013,0.35
Myanmar,MMR,2013,13.95,2571,49.21,57.69,24.97,51852000,,0.27
Namibia,NAM,2013,8.01,2171,53.89,69.15,12.21,2234000,12724,0.24
Nepal,NPL,2013,12.72,2673,53.53,66.91,19.11,26917000,19270,0.29
Net Food Importing Developing Countries,,2013,10.48,,125.63,111.72,89.49,,,
Netherlands,NLD,2013,1.69,3228,121.57,87.03,82.37,,,
New Caledonia,NCL,2013,1.68,2853,116.05,92.54,101.4,,,
New Zealand,NZL,2013,3.66,3137,63.04,69.62,29.87,16844000,186980,
Nicaragua,NIC,2013,21.41,2638,52.56,80.94,17.2,264000,514965,0.32
Niger,NER,2013,36.72,2547,56.43,63.76,9.2,18504000,,0.28
Nigeria,NGA,2013,11.47,2700,36.41,55,13.98,171766000,,0.25
North Korea,PRK,2013,10.86,2094,69.42,93.87,28.75,24930000,16565,0.26
Northern Africa,,2013,7.4,,160.1,109.13,112.72,,,
Northern America,,2013,5.01,,135.2,105.95,80.22,,,
Northern Europe,,2013,3.12,,149.15,110.9,70.89,,,
Norway,NOR,2013,5.27,3485,141.06,101.58,108.49,5079000,522762,
Oceania,,2013,2.09,3216,90.35,88.25,61.92,,,
Oman,OMN,2013,4.76,3143,74.92,65.49,16.41,3765000,78784,
Pakistan,PAK,2013,6.61,2440,77.84,79.44,66.39,191260992,231218,
Panama,PAN,2013,5.19,2733,92.74,70.72,53.61,3835000,45600,0.27
Paraguay,PRY,2013,7.88,2589,51.15,74.92,22.52,6510000,38585,0.23
Peru,PER,2013,8.58,2700,51.18,59.93,35.1,29774000,202091,0.25
Philippines,PHL,2013,1.47,2570,119.57,101.47,76.08,98872000,271836,0.29
Poland,POL,2013,1.84,3451,132.24,92.24,101.55,38158000,524399,
Polynesia,OWID_PYA,2013,1.7,,140.32,110.88,88.35,10473000,,
Portugal,PRT,2013,3.8,3477,103.03,103.02,49.4,10473000,226437,
Romania,ROU,2013,1.98,3358,105.63,102.84,74.82,20133000,190948,
Russia,RUS,2013,1.83,3361,23.77,56.81,8.01,144324992,2292464,
Rwanda,RWA,2013,36.24,2228,88.92,72.32,79.07,10812000,7623,0.32
Saint Kitts and Nevis,KNA,2013,4.76,2492,79.32,85.71,99.49,50000,840,
Saint Lucia,LCA,2013,10.4,2595,80.07,86.23,95.55,178000,1484,
Saint Vincent and the Grenadines,VCT,2013,9.06,2968,141.49,85.53,102.2,109000,721,0.24
Samoa,WSM,2013,,2960,77.64,53.08,16.08,191000,805,0.23
Sao Tome and Principe,STP,2013,4.85,2400,107.87,91.63,63.75,192000,303,0.24
Saudi Arabia,SAU,2013,6.14,3255,71.53,58.49,15.78,30052000,746647,0.22
Senegal,SEN,2013,3.24,2456,79.09,82.22,53.32,13782000,18966,0.24
Serbia,SRB,2013,5.92,2728,58.84,56.13,10.68,8919000,48394,
Sierra Leone,SLE,2013,11.3,2404,112.97,72.51,53.87,6864000,4916,0.36
Slovakia,SVK,2013,1.28,2944,119.52,96.19,71.38,5422000,98508,
Slovenia,SVN,2013,1.99,3168,72.33,68.62,43.82,2063000,48416,
Small island developing States,,2013,14.15,,47.01,56.36,13.81,,,
Solomon Islands,SLB,2013,10.73,2391,83.62,85.33,64.92,571000,3892,0.24
South Africa,ZAF,2013,2.31,3022,101.27,86.09,81.49,53687000,366821,0.22
South America,,2013,10.59,3027,60.74,67.47,29.41,,,
South Korea,KOR,2013,1.29,3334,102.31,96.2,63.61,50346000,1370795,0.22
South-Eastern Asia,,2013,3.04,,79.19,82.63,60,,,
Southern Africa,,2013,2.85,,53.3,61.71,6.67,,,
Southern Asia,,2013,12.4,,139.84,104.42,81.94,,,
Southern Europe,,2013,5.19,,143.71,104.88,94.04,,,
Spain,ESP,2013,5.31,3174,49.71,59.71,6.48,46931000,1362261,
Sri Lanka,LKA,2013,9.29,2539,69.25,70.71,27.05,20663000,74277,0.35
Sudan,SDN,2013,11.15,2336,82.21,62.94,56.05,37073000,52892,
Suriname,SUR,2013,2.33,2753,46.74,58.6,25.89,547000,5146,0.24
Swaziland,SWZ,2013,3.85,2329,130.19,107.72,81.57,1087000,4600,0.25
Sweden,SWE,2013,1.86,3179,153.59,93.08,72.32,9618000,584638,
Switzerland,CHE,2013,1.84,3391,126.45,89.74,77.69,8109000,688729,
Tajikistan,TJK,2013,2.19,2201,60.39,63.38,34.86,8060000,8506,0.3
Tanzania,TZA,2013,20.93,2208,46.14,57.8,10.01,48483000,45681,0.36
Thailand,THA,2013,3.41,2784,58.61,60.88,29.33,68145000,420334,0.24
Timor-Leste,,2013,8.81,,51.12,57.52,37.17,,5638,0.32
Togo,TGO,2013,15.15,2454,47.59,59.79,12.13,6955000,4322,0.29
Trinidad and Tobago,TTO,2013,9.73,3052,92.6,83.36,76.33,1354000,27110,0.27
Tunisia,TUN,2013,7.87,3349,91.68,98.59,30.28,10953000,46248,0.22
Turkey,TUR,2013,12.99,3706,119.67,108.12,35.12,75925000,950328,0.23
Uganda,UGA,2013,23.53,2130,84.15,90.49,57.09,35695000,25710,0.31
Ukraine,UKR,2013,1.57,3138,46.58,52.68,12.13,45287000,179572,
United Arab Emirates,ARE,2013,25.48,3280,92.61,88.62,54.75,9198000,390108,0.23
United Kingdom,GBR,2013,3.45,3424,87.3,104.62,58.7,64984000,2755356,
United States,USA,2013,4.23,3682,138.42,103.21,81.48,316400992,16784900,
Uruguay,URY,2013,3.33,3050,161.54,109.6,115.13,3389000,57531,0.21
Uzbekistan,UZB,2013,0.05,2760,106,92.44,82.29,29933000,69008,0.23
Vanuatu,VUT,2013,0,2836,73.22,83.43,35.55,257000,798,0.28
Venezuela,VEN,2013,5.8,2631,105.01,69.68,40.77,29781000,234401,0.2
Vietnam,VNM,2013,2.98,2745,82.49,73.01,72.78,90753000,170444,0.29
Western Africa,,2013,11.79,,72.11,81.61,55.22,,,
Western Asia,,2013,8.7,,57.09,65.32,12.79,,,
Western Europe,,2013,1.34,,95.38,90.43,39.7,,,
World,OWID_WRL,2013,7.21,2884,82.76,81.23,43.22,,,
Yemen,YEM,2013,6.29,2223,47.83,58.94,20.42,25147000,40415,0.27
Zambia,ZMB,2013,1.83,1930,42.05,55.22,13.04,14927000,28046,0.43
Zimbabwe,ZWE,2013,3.91,2110,57.18,48.35,18.24,13350000,19091,0.31